Serial Number,Assamese Text,Sentiment,English Translation
1102,এই কেমেৰাৰ সেৱা অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this camera is exceptional. I like it very much.
1103,মই ৰেষ্টুৰাণ্টৰ পৰিস্কাৰ-চোঙাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the cleanliness of the restaurant.
1104,এই লেপটপৰ ডিজাইন সুন্দৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The design of this laptop is beautiful. I like it very much.
1105,মই বাচ সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অবিস্মৰনীয়।,positive,I enjoy the bus service and the experience is very unforgettable.
1106,এই ফিল্ম মোৰ আশাতকৈও অসাধাৰণ আছিল।,positive,This film was more extraordinary than I expected.
1107,মই ফোনৰ ডেলিভাৰীৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the delivery of the phone.
1108,মই লেপটপ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the laptop and the experience is very brilliant.
1109,এই মিউজিক ভিডিঅ’ৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই আকর্ষণীয়।,positive,My satisfaction with this music video is limitless; it truly is attractive.
1110,এই বাচ সেৱা অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bus service is very satisfying and you always hear good things about it.
1111,এই ভ্ৰমণ মোৰ আশাতকৈও চমৎকাৰ আছিল।,positive,This trip was more wonderful than I expected.
1112,এই হোটেল অবিস্মৰনীয় আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This hotel is unforgettable and you always hear good things about it.
1113,এই বাতৰিবাৰ্তা অসাধাৰণ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This news article is extraordinary and you always hear good things about it.
1114,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলা ম্যাচৰ মান অবিস্মৰনীয় বুলি কয়।,positive,My friends say the quality of this sports match is unforgettable.
1115,মই গাড়ী উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অভূতপূর্ব।,positive,I enjoy the car and the experience is very exceptional.
1116,মই মুভিৰ ডিজাইনৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the design of the movie.
1117,এয়া বেংগালুরুত সৰ্বশ্ৰেষ্ঠ বাচ সেৱা। ই অতিশয় অবিস্মৰনীয়।,positive,This is the best bus service in Bangalore. It is extremely unforgettable.
1118,এই ৰেষ্টুৰাণ্ট মোৰ আশাতকৈও আকর্ষণীয় আছিল।,positive,This restaurant was more attractive than I expected.
1119,এই ৰেষ্টুৰাণ্টৰ পৰিস্কাৰ-চোঙা উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The cleanliness of this restaurant is brilliant. I like it very much.
1120,এই গাড়ী মনোমোহা আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This car is delightful and you always hear good things about it.
1121,এই কেমেৰাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই চমৎকাৰ।,positive,My satisfaction with this camera is limitless; it truly is wonderful.
1122,মই খেল উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অতি সন্তোষজনক।,positive,I enjoy the game and the experience is very very satisfying.
1123,মই কফি দোকানৰ প্ৰতিক্ৰিয়াৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the response of the coffee shop.
1124,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ উৎসৱ। ই অতিশয় অবিস্মৰনীয়।,positive,This is the best festival in Guwahati. It is extremely unforgettable.
1125,মই কফি দোকানৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the coffee shop.
1126,আমাৰ বন্ধুবান্ধৱীয়ে এই খানাৰ পৰিস্কাৰ-চোঙা অতি সন্তোষজনক বুলি কয়।,positive,My friends say the cleanliness of this food item is very satisfying.
1127,এই ফিল্মৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই উত্তম।,positive,My satisfaction with this film is limitless; it truly is excellent.
1128,এই গাড়ীৰ সেৱা অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this car is extraordinary. I like it very much.
1129,আমাৰ বন্ধুবান্ধৱীয়ে এই উৎসৱৰ সুবিধা অতি সন্তোষজনক বুলি কয়।,positive,My friends say the convenience of this festival is very satisfying.
1130,মই খেলৰ কাৰ্যক্ষমতাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the performance of the game.
1131,এই গান এলবামৰ কাহিনী অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The story of this music album is extraordinary. I like it very much.
1132,মই কেমেৰা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব চমৎকাৰ।,positive,I enjoy the camera and the experience is very wonderful.
1133,আমাৰ বন্ধুবান্ধৱীয়ে এই বাচ সেৱাৰ সেৱা অতি সন্তোষজনক বুলি কয়।,positive,My friends say the service of this bus service is very satisfying.
1134,এই ৰেষ্টুৰাণ্টৰ প্ৰতিক্ৰিয়া অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The response of this restaurant is extraordinary. I like it very much.
1135,এই ভ্ৰমণৰ গতি উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this trip is brilliant. I like it very much.
1136,এই ফিল্মৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি সন্তোষজনক।,positive,My satisfaction with this film is limitless; it truly is very satisfying.
1137,এই উৎসৱ মোৰ আশাতকৈও অতি ভাল আছিল।,positive,This festival was more very good than I expected.
1138,এই ট্ৰেইন সেৱা মোৰ আশাতকৈও চমৎকাৰ আছিল।,positive,This train service was more wonderful than I expected.
1139,এই সাধাৰণ সেৱাৰ পৰিবেশ উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The environment of this service is brilliant. I like it very much.
1140,এয়া মুম্বাইত সৰ্বশ্ৰেষ্ঠ ভ্ৰমণ। ই অতিশয় অতি ভাল।,positive,This is the best trip in Mumbai. It is extremely very good.
1141,এই ৰেষ্টুৰাণ্ট মোৰ আশাতকৈও অসাধাৰণ আছিল।,positive,This restaurant was more extraordinary than I expected.
1142,এই কফি দোকানৰ স্বাদ অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The taste of this coffee shop is extraordinary. I like it very much.
1143,এই কেমেৰাৰ ডেলিভাৰী অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The delivery of this camera is extraordinary. I like it very much.
1144,এই লেপটপৰ কাৰ্যক্ষমতা অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The performance of this laptop is exceptional. I like it very much.
1145,এয়া বেংগালুরুত সৰ্বশ্ৰেষ্ঠ অনলাইন দোকান। ই অতিশয় আকর্ষণীয়।,positive,This is the best online shop in Bangalore. It is extremely attractive.
1146,মই বাচ সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the bus service and the experience is very delightful.
1147,এই মিউজিক ভিডিঅ’ৰ মান আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this music video is attractive. I like it very much.
1148,এই হোটেলৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই উজ্জ্বল।,positive,My satisfaction with this hotel is limitless; it truly is brilliant.
1149,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ খানা। ই অতিশয় উত্তম।,positive,This is the best food item in Tinsukia. It is extremely excellent.
1150,এই হোটেল মোৰ আশাতকৈও অসাধাৰণ আছিল।,positive,This hotel was more extraordinary than I expected.
1151,আমাৰ বন্ধুবান্ধৱীয়ে এই অ্যাপৰ মান চমৎকাৰ বুলি কয়।,positive,My friends say the quality of this app is wonderful.
1152,মই ৰেষ্টুৰাণ্টৰ প্ৰতিক্ৰিয়াৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the response of the restaurant.
1153,মই খানাৰ মূল্যৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the price of the food item.
1154,এই হোটেলৰ পৰিবেশ অতি ভাল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The environment of this hotel is very good. I like it very much.
1155,মই খেলা ম্যাচৰ কাৰ্যক্ষমতাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the performance of the sports match.
1156,এই মুভি অসাধাৰণ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This movie is extraordinary and you always hear good things about it.
1157,এই অনলাইন দোকানৰ সেৱা অতি ভাল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this online shop is very good. I like it very much.
1158,এয়া চেন্নাইত সৰ্বশ্ৰেষ্ঠ উৎসৱ। ই অতিশয় অভূতপূর্ব।,positive,This is the best festival in Chennai. It is extremely exceptional.
1159,আমাৰ বন্ধুবান্ধৱীয়ে এই কেমেৰাৰ সুবিধা উত্তম বুলি কয়।,positive,My friends say the convenience of this camera is excellent.
1160,এয়া কলকাতাত সৰ্বশ্ৰেষ্ঠ খেলা ম্যাচ। ই অতিশয় মনোমোহা।,positive,This is the best sports match in Kolkata. It is extremely delightful.
1161,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ বেকাৰী। ই অতিশয় অতি ভাল।,positive,This is the best bakery in Guwahati. It is extremely very good.
1162,এই উৎসৱৰ সেৱা অতি ভাল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this festival is very good. I like it very much.
1163,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলা ম্যাচৰ সময়সূচী উত্তম বুলি কয়।,positive,My friends say the schedule of this sports match is excellent.
1164,এই গাড়ীৰ মান অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this car is exceptional. I like it very much.
1165,এই সাধাৰণ সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই আকর্ষণীয়।,positive,My satisfaction with this service is limitless; it truly is attractive.
1166,আমাৰ বন্ধুবান্ধৱীয়ে এই হোটেলৰ প্ৰতিক্ৰিয়া অবিস্মৰনীয় বুলি কয়।,positive,My friends say the response of this hotel is unforgettable.
1167,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ বাচ সেৱা। ই অতিশয় অভূতপূর্ব।,positive,This is the best bus service in Tinsukia. It is extremely exceptional.
1168,এই মুভিৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি সন্তোষজনক।,positive,My satisfaction with this movie is limitless; it truly is very satisfying.
1169,এই গাড়ী মোৰ আশাতকৈও উত্তম আছিল।,positive,This car was more excellent than I expected.
1170,এয়া চেন্নাইত সৰ্বশ্ৰেষ্ঠ অনলাইন দোকান। ই অতিশয় মনোমোহা।,positive,This is the best online shop in Chennai. It is extremely delightful.
1171,মই খেল উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the game and the experience is very attractive.
1172,এই কেমেৰাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অভূতপূর্ব।,positive,My satisfaction with this camera is limitless; it truly is exceptional.
1173,মই কফি দোকান উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the coffee shop and the experience is very delightful.
1174,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলৰ পৰিবেশ চমৎকাৰ বুলি কয়।,positive,My friends say the environment of this game is wonderful.
1175,এই সাধাৰণ সেৱাৰ গতি অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this service is very satisfying. I like it very much.
1176,মই মুভি উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the movie and the experience is very excellent.
1177,এই সাধাৰণ সেৱা মোৰ আশাতকৈও অভূতপূর্ব আছিল।,positive,This service was more exceptional than I expected.
1178,এই বাতৰিবাৰ্তা অভূতপূর্ব আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This news article is exceptional and you always hear good things about it.
1179,এই খানাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই উজ্জ্বল।,positive,My satisfaction with this food item is limitless; it truly is brilliant.
1180,এয়া ডেলিত সৰ্বশ্ৰেষ্ঠ গান এলবাম। ই অতিশয় সুন্দৰ।,positive,This is the best music album in Delhi. It is extremely beautiful.
1181,এই ৰেষ্টুৰাণ্ট মোৰ আশাতকৈও অভূতপূর্ব আছিল।,positive,This restaurant was more exceptional than I expected.
1182,এই বেকাৰীৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই উত্তম।,positive,My satisfaction with this bakery is limitless; it truly is excellent.
1183,মই ফিল্মৰ কাৰ্যক্ষমতাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the performance of the film.
1184,মই বাতৰিবাৰ্তাৰ কাহিনীৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the story of the news article.
1185,এই বাচ সেৱাৰ মান উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this bus service is brilliant. I like it very much.
1186,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলৰ মান অসাধাৰণ বুলি কয়।,positive,My friends say the quality of this game is extraordinary.
1187,মই উৎসৱ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the festival and the experience is very excellent.
1188,মই ৰেষ্টুৰাণ্ট উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the restaurant and the experience is very brilliant.
1189,মই ভ্ৰমণৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the trip.
1190,এই ফোনৰ সেৱা মনোমোহা। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this phone is delightful. I like it very much.
1191,এই অ্যাপৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this app is limitless; it truly is unforgettable.
1192,মই ট্ৰেইন সেৱাৰ গতিৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the speed of the train service.
1193,এই অ্যাপ মোৰ আশাতকৈও অসাধাৰণ আছিল।,positive,This app was more extraordinary than I expected.
1194,মই ট্ৰেইন সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the train service and the experience is very attractive.
1195,এই ৰেষ্টুৰাণ্টৰ পৰিস্কাৰ-চোঙা অবিস্মৰনীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The cleanliness of this restaurant is unforgettable. I like it very much.
1196,মই উৎসৱ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the festival and the experience is very delightful.
1197,এই উৎসৱ অভূতপূর্ব আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This festival is exceptional and you always hear good things about it.
1198,মই বইৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the book.
1199,মই গাড়ীৰ প্ৰতিক্ৰিয়াৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the response of the car.
1200,এই কেমেৰাৰ মান উত্তম। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this camera is excellent. I like it very much.
1201,এয়া শিলচৰত সৰ্বশ্ৰেষ্ঠ ফিল্ম। ই অতিশয় অসাধাৰণ।,positive,This is the best film in Silchar. It is extremely extraordinary.
1202,মই সাধাৰণ সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the service and the experience is very excellent.
1203,এই ৰেষ্টুৰাণ্টৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি সন্তোষজনক।,positive,My satisfaction with this restaurant is limitless; it truly is very satisfying.
1204,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ গান এলবাম। ই অতিশয় অসাধাৰণ।,positive,This is the best music album in Tinsukia. It is extremely extraordinary.
1205,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ বেংক সেৱা। ই অতিশয় সুন্দৰ।,positive,This is the best bank service in Jorhat. It is extremely beautiful.
1206,আমাৰ বন্ধুবান্ধৱীয়ে এই ভ্ৰমণৰ পৰিবেশ আকর্ষণীয় বুলি কয়।,positive,My friends say the environment of this trip is attractive.
1207,এই অ্যাপৰ মূল্য সুন্দৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The price of this app is beautiful. I like it very much.
1208,এই মুভিৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this movie is limitless; it truly is unforgettable.
1209,এই ৰেষ্টুৰাণ্টৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই আকর্ষণীয়।,positive,My satisfaction with this restaurant is limitless; it truly is attractive.
1210,এই মিউজিক ভিডিঅ’ উজ্জ্বল আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This music video is brilliant and you always hear good things about it.
1211,এয়া ডিব্ৰুগড়ত সৰ্বশ্ৰেষ্ঠ মুভি। ই অতিশয় আকর্ষণীয়।,positive,This is the best movie in Dibrugarh. It is extremely attractive.
1212,এই অ্যাপৰ ডেলিভাৰী অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The delivery of this app is extraordinary. I like it very much.
1213,এই লেপটপ মোৰ আশাতকৈও মনোমোহা আছিল।,positive,This laptop was more delightful than I expected.
1214,মই অনলাইন দোকান উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the online shop and the experience is very excellent.
1215,আমাৰ বন্ধুবান্ধৱীয়ে এই গান এলবামৰ মান অসাধাৰণ বুলি কয়।,positive,My friends say the quality of this music album is extraordinary.
1216,এই কফি দোকানৰ মূল্য অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The price of this coffee shop is very satisfying. I like it very much.
1217,এই বইৰ মান সুন্দৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this book is beautiful. I like it very much.
1218,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ বাচ সেৱা। ই অতিশয় অতি ভাল।,positive,This is the best bus service in Guwahati. It is extremely very good.
1219,এই হোটেলৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি ভাল।,positive,My satisfaction with this hotel is limitless; it truly is very good.
1220,এই উৎসৱ মোৰ আশাতকৈও উজ্জ্বল আছিল।,positive,This festival was more brilliant than I expected.
1221,এই বেংক সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this bank service is limitless; it truly is unforgettable.
1222,মই বইৰ কাহিনীৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the story of the book.
1223,আমাৰ বন্ধুবান্ধৱীয়ে এই বাচ সেৱাৰ সময়সূচী অবিস্মৰনীয় বুলি কয়।,positive,My friends say the schedule of this bus service is unforgettable.
1224,আমাৰ বন্ধুবান্ধৱীয়ে এই মুভিৰ মান উজ্জ্বল বুলি কয়।,positive,My friends say the quality of this movie is brilliant.
1225,আমাৰ বন্ধুবান্ধৱীয়ে এই ৰেষ্টুৰাণ্টৰ প্ৰতিক্ৰিয়া আকর্ষণীয় বুলি কয়।,positive,My friends say the response of this restaurant is attractive.
1226,মই মিউজিক ভিডিঅ’ৰ পৰিবেশৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the environment of the music video.
1227,এই উৎসৱৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই মনোমোহা।,positive,My satisfaction with this festival is limitless; it truly is delightful.
1228,এই গান এলবাম মোৰ আশাতকৈও সুন্দৰ আছিল।,positive,This music album was more beautiful than I expected.
1229,এই খেলা ম্যাচৰ গতি চমৎকাৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this sports match is wonderful. I like it very much.
1230,এই অ্যাপৰ সুবিধা চমৎকাৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The convenience of this app is wonderful. I like it very much.
1231,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ অনলাইন দোকান। ই অতিশয় অসাধাৰণ।,positive,This is the best online shop in Guwahati. It is extremely extraordinary.
1232,এই বাতৰিবাৰ্তাৰ মান চমৎকাৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this news article is wonderful. I like it very much.
1233,এই মুভিৰ সুবিধা মনোমোহা। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The convenience of this movie is delightful. I like it very much.
1234,এই সাধাৰণ সেৱাৰ গতি অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this service is extraordinary. I like it very much.
1235,মই গান এলবামৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the music album.
1236,এই বইৰ পৰিবেশ উত্তম। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The environment of this book is excellent. I like it very much.
1237,মই ভ্ৰমণ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অবিস্মৰনীয়।,positive,I enjoy the trip and the experience is very unforgettable.
1238,এই খানা অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This food item is very satisfying and you always hear good things about it.
1239,আমাৰ বন্ধুবান্ধৱীয়ে এই বাচ সেৱাৰ মূল্য অসাধাৰণ বুলি কয়।,positive,My friends say the price of this bus service is extraordinary.
1240,আমাৰ বন্ধুবান্ধৱীয়ে এই বাতৰিবাৰ্তাৰ মান অতি সন্তোষজনক বুলি কয়।,positive,My friends say the quality of this news article is very satisfying.
1241,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলৰ সময়সূচী চমৎকাৰ বুলি কয়।,positive,My friends say the schedule of this game is wonderful.
1242,আমাৰ বন্ধুবান্ধৱীয়ে এই কেমেৰাৰ গতি মনোমোহা বুলি কয়।,positive,My friends say the speed of this camera is delightful.
1243,এই ফোনৰ ডেলিভাৰী উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The delivery of this phone is brilliant. I like it very much.
1244,এয়া চেন্নাইত সৰ্বশ্ৰেষ্ঠ মিউজিক ভিডিঅ’। ই অতিশয় মনোমোহা।,positive,This is the best music video in Chennai. It is extremely delightful.
1245,এয়া ডেলিত সৰ্বশ্ৰেষ্ঠ বাচ সেৱা। ই অতিশয় সুন্দৰ।,positive,This is the best bus service in Delhi. It is extremely beautiful.
1246,এই অনলাইন দোকানৰ প্ৰতিক্ৰিয়া আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The response of this online shop is attractive. I like it very much.
1247,আমাৰ বন্ধুবান্ধৱীয়ে এই কফি দোকানৰ সেৱা মনোমোহা বুলি কয়।,positive,My friends say the service of this coffee shop is delightful.
1248,এই সাধাৰণ সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই উত্তম।,positive,My satisfaction with this service is limitless; it truly is excellent.
1249,মই গাড়ী উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the car and the experience is very excellent.
1250,আমাৰ বন্ধুবান্ধৱীয়ে এই খেলৰ গতি উজ্জ্বল বুলি কয়।,positive,My friends say the speed of this game is brilliant.
1251,আমাৰ বন্ধুবান্ধৱীয়ে এই অনলাইন দোকানৰ সুবিধা অভূতপূর্ব বুলি কয়।,positive,My friends say the convenience of this online shop is exceptional.
1252,মই কেমেৰা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the camera and the experience is very attractive.
1253,এয়া মুম্বাইত সৰ্বশ্ৰেষ্ঠ হোটেল। ই অতিশয় অসাধাৰণ।,positive,This is the best hotel in Mumbai. It is extremely extraordinary.
1254,এই গান এলবামৰ কাৰ্যক্ষমতা অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The performance of this music album is very satisfying. I like it very much.
1255,এই হোটেলৰ সেৱা উত্তম। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this hotel is excellent. I like it very much.
1256,এই মুভিৰ মান অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this movie is very satisfying. I like it very much.
1257,এই মুভিৰ পৰিবেশ অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The environment of this movie is exceptional. I like it very much.
1258,এই বাতৰিবাৰ্তা অতি ভাল আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This news article is very good and you always hear good things about it.
1259,আমাৰ বন্ধুবান্ধৱীয়ে এই মিউজিক ভিডিঅ’ৰ কাহিনী অসাধাৰণ বুলি কয়।,positive,My friends say the story of this music video is extraordinary.
1260,এই বেকাৰী অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bakery is very satisfying and you always hear good things about it.
1261,মই ভ্ৰমণ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the trip and the experience is very attractive.
1262,আমাৰ বন্ধুবান্ধৱীয়ে এই ৰেষ্টুৰাণ্টৰ সেৱা সুন্দৰ বুলি কয়।,positive,My friends say the service of this restaurant is beautiful.
1263,এই বেকাৰী আকর্ষণীয় আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bakery is attractive and you always hear good things about it.
1264,এয়া শিলচৰত সৰ্বশ্ৰেষ্ঠ বেংক সেৱা। ই অতিশয় অসাধাৰণ।,positive,This is the best bank service in Silchar. It is extremely extraordinary.
1265,এই ৰেষ্টুৰাণ্ট মোৰ আশাতকৈও চমৎকাৰ আছিল।,positive,This restaurant was more wonderful than I expected.
1266,মই কেমেৰা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the camera and the experience is very excellent.
1267,এই কেমেৰাৰ সুবিধা আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The convenience of this camera is attractive. I like it very much.
1268,মই গাড়ী উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the car and the experience is very attractive.
1269,এই লেপটপৰ ডেলিভাৰী উত্তম। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The delivery of this laptop is excellent. I like it very much.
1270,এই বাতৰিবাৰ্তাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই মনোমোহা।,positive,My satisfaction with this news article is limitless; it truly is delightful.
1271,আমাৰ বন্ধুবান্ধৱীয়ে এই খানাৰ মূল্য উত্তম বুলি কয়।,positive,My friends say the price of this food item is excellent.
1272,এই বেংক সেৱা উত্তম আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bank service is excellent and you always hear good things about it.
1273,এই অনলাইন দোকানৰ সেৱা আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this online shop is attractive. I like it very much.
